Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
123,Airpore Medium 2,5,9.011,45.874,0.19642935
123,Airpore young 1,6,10.506,41.72,0.251821668
126,background,0,6.81,38.264,0.177974075
126,Airpore Old 1,1,8.468,35.308,0.239832333
126,Airpore Old 2,2,11.345,45.223,0.250867921
126,Airpore Old 3,3,11.112,46.491,0.239014003
126,Airpore Medium 1,4,8.254,37.387,0.220771926
126,Airpore Medium 2,5,8.778,46.272,0.189704357
126,Airpore young 1,6,10.471,42.706,0.24518803
129,background,0,6.975,38.363,0.181815812
129,Airpore Old 1,1,8.412,34.557,0.243423908
129,Airpore Old 2,2,11.186,45.396,0.246409375
129,Airpore Old 3,3,11.304,46.542,0.242877401
129,Airpore Medium 1,4,8.34,36.85,0.226322931
129,Airpore Medium 2,5,8.857,45.649,0.194023965
129,Airpore young 1,6,10.169,41.998,0.242130578
132,background,0,6.931,38.539,0.179843795
132,Airpore Old 1,1,8.369,35.462,0.235999098
132,Airpore Old 2,2,11.347,45.599,0.248843176
132,Airpore Old 3,3,12.299,46.748,0.263091469
132,Airpore Medium 1,4,8.2,38.015,0.215704327
