Time,ROI_Name,ROI,Mean_Calcium,Mean_Background,Ratio
399,Airpore Medium 1,4,9.346,42.854,0.218089327
402,background,0,6.044,41.132,0.146941554
402,Airpore Old 1,1,9.205,40.859,0.225286962
402,Airpore Old 2,2,8.871,42.368,0.209379721
402,Airpore Old 3,3,10.108,42.412,0.238328775
402,Airpore Medium 1,4,9.265,42.963,0.215650676
405,background,0,6.212,40.992,0.151541764
405,Airpore Old 1,1,9.262,41.165,0.224996963
405,Airpore Old 2,2,9.106,41.969,0.216969668
405,Airpore Old 3,3,10.779,42.157,0.255687075
405,Airpore Medium 1,4,9.42,43.023,0.218952653
408,background,0,6.172,41.05,0.150353228
408,Airpore Old 1,1,9.325,40.788,0.228621163
408,Airpore Old 2,2,8.822,42.108,0.209508882
408,Airpore Old 3,3,10.923,42.805,0.25518047
408,Airpore Medium 1,4,9.357,42.8,0.218621495
411,background,0,6.091,41.382,0.147189599
411,Airpore Old 1,1,9.494,40.907,0.232087418
411,Airpore Old 2,2,8.811,42.731,0.206196906
411,Airpore Old 3,3,10.43,42.352,0.246269362
411,Airpore Medium 1,4,9.081,43.442,0.209037337
414,background,0,6.066,41.4,0.146521739
414,Airpore Old 1,1,9.991,41.167,0.242694391
414,Airpore Old 2,2,9.013,43.055,0.209336895
414,Airpore Old 3,3,10.134,42.642,0.237653018
414,Airpore Medium 1,4,9.233,43.089,0.214277426
417,background,0,6.159,41.166,0.149613759
417,Airpore Old 1,1,9.798,41.014,0.238894036
417,Airpore Old 2,2,8.852,42.568,0.207949634
417,Airpore Old 3,3,10.234,42.621,0.240116375
417,Airpore Medium 1,4,9.096,43.132,0.210887508
420,background,0,6.194,41.159,0.150489565
420,Airpore Old 1,1,9.465,40.905,0.231389806
420,Airpore Old 2,2,9.044,42.799,0.211313348
420,Airpore Old 3,3,9.637,42.251,0.228089276
420,Airpore Medium 1,4,9.279,42.908,0.216253379
423,background,0,6.199,41.428,0.149633098
423,Airpore Old 1,1,9.231,40.503,0.227909044
423,Airpore Old 2,2,8.808,42.215,0.208646216
423,Airpore Old 3,3,9.517,42.761,0.222562615
423,Airpore Medium 1,4,9.297,43.738,0.21256116
426,background,0,6.192,41.529,0.149100628
