 ,Area,Mean,Min,Max,Ch,Frame
541,1068.017,8.948,0,46,1,55
542,1068.017,9.296,0,46,1,55
543,1068.017,9.001,0,35,1,55
544,1068.017,9.142,0,42,1,55
545,2248.080,6.165,0,66,1,55
546,1068.017,41.262,7,122,2,55
547,1068.017,44.112,7,110,2,55
548,1068.017,44.068,7,101,2,55
549,1068.017,43.886,8,144,2,55
550,2248.080,41.701,3,224,2,55
551,1068.017,9.145,0,43,1,56
552,1068.017,9.381,0,47,1,56
553,1068.017,8.693,0,35,1,56
554,1068.017,9.214,0,46,1,56
555,2248.080,6.065,0,31,1,56
556,1068.017,41.109,7,98,2,56
557,1068.017,44.185,11,118,2,56
558,1068.017,43.640,7,104,2,56
559,1068.017,44.519,7,255,2,56
560,2248.080,41.522,0,153,2,56
561,1068.017,9.442,0,43,1,57
562,1068.017,9.202,0,43,1,57
563,1068.017,8.860,0,43,1,57
564,1068.017,9.193,0,50,1,57
565,2248.080,6.198,0,35,1,57
566,1068.017,40.928,8,120,2,57
567,1068.017,44.212,7,255,2,57
568,1068.017,43.725,7,103,2,57
569,1068.017,44.730,11,165,2,57
570,2248.080,41.497,3,143,2,57
571,1068.017,9.077,0,47,1,58
572,1068.017,9.089,0,45,1,58
573,1068.017,8.662,0,43,1,58
574,1068.017,9.749,0,52,1,58
575,2248.080,6.161,0,62,1,58
576,1068.017,41.399,7,107,2,58
577,1068.017,43.891,7,121,2,58
578,1068.017,43.830,7,113,2,58
579,1068.017,44.112,3,134,2,58
580,2248.080,41.310,3,117,2,58
581,1068.017,9.013,0,39,1,59
582,1068.017,9.124,0,39,1,59
583,1068.017,8.858,0,36,1,59
584,1068.017,9.952,0,75,1,59
585,2248.080,6.168,0,39,1,59
586,1068.017,41.071,3,108,2,59
587,1068.017,44.482,7,115,2,59
588,1068.017,44.366,7,120,2,59
589,1068.017,44.365,8,171,2,59
590,2248.080,41.411,3,115,2,59
591,1068.017,8.900,0,52,1,60
592,1068.017,8.996,0,44,1,60
593,1068.017,9.009,0,35,1,60
594,1068.017,9.850,0,55,1,60
595,2248.080,6.164,0,46,1,60
596,1068.017,40.541,7,104,2,60
597,1068.017,44.206,11,111,2,60
598,1068.017,43.221,3,124,2,60
599,1068.017,44.450,7,155,2,60
600,2248.080,41.317,3,123,2,60
601,1068.017,8.811,0,39,1,61
602,1068.017,9.012,0,43,1,61
603,1068.017,8.795,0,51,1,61
604,1068.017,9.576,0,47,1,61
605,2248.080,6.096,0,39,1,61
606,1068.017,40.898,8,103,2,61
607,1068.017,43.824,11,123,2,61
608,1068.017,43.341,7,164,2,61
609,1068.017,44.382,7,147,2,61
610,2248.080,41.407,3,131,2,61
611,1068.017,8.841,0,43,1,62
612,1068.017,9.156,0,38,1,62
613,1068.017,8.862,0,39,1,62
614,1068.017,9.368,0,51,1,62
615,2248.080,6.197,0,31,1,62
616,1068.017,41.658,7,115,2,62
617,1068.017,43.778,11,178,2,62
618,1068.017,43.917,7,121,2,62
619,1068.017,43.902,3,150,2,62
620,2248.080,40.966,3,127,2,62
621,1068.017,8.981,0,43,1,63
622,1068.017,9.149,0,43,1,63
623,1068.017,8.699,0,50,1,63
624,1068.017,9.389,0,46,1,63
625,2248.080,6.139,0,37,1,63
626,1068.017,40.989,7,117,2,63
627,1068.017,43.653,7,108,2,63
